collection_id	collection_name	yoyo_id	primary_store
10531	Master Moderno Trevira 160 Neutral	missoni-home-master-moderno-trevira-160-neutral-collection	yv
10532	Murrine	missoni-home-murrine-collection	yv
10533	Ned		
10534	Ned Rose		
10535	Odette		
10536	Odette Blue		
10537	Odette Pink		
10538	Olafur		
10539	Olga		
10540	Olga Neutral		
10541	Olga Vivid		
10542	Ophelia		
10543	Oprah		
10544	Orchidee 156 Vivid	missoni-home-orchidee-156-vivid-collection	yv
10545	Orchidee 160 Neutral		
10546	Oscar		
10547	Oscar Blue		
10548	Ottavio		
10549	Oz and Ozzy		
10550	Papavero Patch	missoni-home-papavero-patch-collection	yv
10551	Passiflora T50 Indigo	missoni-home-passiflora-t50-indigo-collection	yv
10552	Passiflora T59 Coral	missoni-home-passiflora-t59-coral-collection	yv
10553	Passiflora T60 Neutral	missoni-home-passiflora-t60-neutral-collection	yv
10554	Ball		
10555	Case		
10556	Case Study		
10557	Grasshopper		
10558	Papa		
10559	Split Rail		
10560	Tenon		
10561	Etra	modernoutdoor-etra-collection	yv
10562	Kenji	modernoutdoor-kenji-collection	yv
10563	Luma	modernoutdoor-luma-collection	yv
10564	Talt	modernoutdoor-talt-collection	yv
10565	Barton		
10566	Beech		
10567	Berkeley		
10568	Cliff		
10569	Jane		
10570	Ludlow		
10571	Monroe		
10572	Thompson		
10573	Waverly		
10574	Worth		
10575	Boon		
10576	Bottoni		
10577	Container		
10578	Fata Morgana Tj		
10579	Light Shade Shade		
10580	Mannequin		
10581	Parent		
10582	Smoke		
10583	Two Tops		
10584	ACF	nameeks-acf-collection	yb
10585	Caracalla	nameeks-caracalla-collection	yb
10586	Gedy	nameeks-gedy-collection	yb
10587	Geesa	nameeks-geesa-collection	yb
10588	GSI	nameeks-gsi-collection	yb
10589	Iotti	nameeks-iotti-collection	yb
10590	Remer	nameeks-remer-collection	yb
10591	Scarabeo	nameeks-scarabeo-collection	yb
10592	Scirocco	nameeks-scirocco-collection	yb
10593	StilHaus	nameeks-stilhaus-collection	yb
10594	Tecla	nameeks-tecla-collection	yb
10595	Toscanaluce	nameeks-toscanaluce-collection	yb
10596	Vanita &amp; Casa	nameeks-vanita-casa-collection	yb
10597	Vitra	nameeks-vitra-collection	yb
10598	Aros		
10599	Black on White		
10600	Flying Carpet		
10601	Practik		
10602	Sybilla		
10603	Topissimo		
10604	Zoom		
10605	Amaze Tub		
10606	Ametys Tub		
10607	Believe Tub		
10608	Bora Tub		
10609	Fen	neptune-fen-collection	yb
10610	Kara Tub		
10611	Macao Tub		
10612	Saphyr Tub		
10613	Taron	neptune-taron-collection	yb
10614	Wind Tub		
10615	Wish		
10616	Zen Tub		
10617	Quadrat		
10618	2 Easy		
10619	Charade		
10620	Route 266		
10621	1966 Collection	richard-schultz-1966-collection	yv
10622	Fresh Air	richard-schultz-fresh-air-collection	yv
10623	Petal	richard-schultz-petal-collection	yv
10624	Swell	richard-schultz-swell-collection	yv
10625	Topiary	richard-schultz-topiary-collection	yv
10626	Candre		
10627	M Series		
10628	PL Series		
10629	Reception		
10630	Reflexion		
10631	Uplift		
10632	Saloom Furniture Peter Francis Collection	saloom-furniture-peter-francis-collection	yv
10633	Saloom Furniture Skyline Collection	saloom-furniture-skyline-collection	yv
10634	Burlesque		
10635	Deskstructure		
10636	Era		
10637	Estetico Quotidiano		
10638	Fantastico Domestico		
10639	I Wares		
10640	Memorabilia	seletti-memorabilia-collection	yv
10641	Palace	seletti-palace-collection	yv
10642	Sending Animals		
10643	Si Time		
10644	Stack Modular		
10645	Versailles Fluo	seletti-versailles-fluo-collection	yv
10646	Eicho	spot-on-square-eicho-collection	yv
10647	Hiya	spot-on-square-hiya-collection	yv
10648	Oliv	spot-on-square-oliv-collection	yv
10649	Roh	spot-on-square-roh-collection	yv
10650	Ulm	spot-on-square-ulm-collection	yv
10651	Confucius Collection	steelforme-confucius-collection	yv
