designer_id	designer_name	yoyo_id	primary_store
9437	Jason Whiteley	designer-jason-whiteley	yv
9438	Javier Mariscal	designer-javier-mariscal	yv
9439	Jean Nouvel	designer-jean-nouvel	yv
9440	Jean Prouv&amp;eacute;	designer-jean-prouve	yv
9441	Jeff Weber	designer-jeff-weber	yv
9442	Jehs + Laub	designer-jehs-laub	yv
9443	Jens Risom	designer-jens-risom	yv
9444	Jens Vang	designer-jens-vang	yv
9445	Liu Jiakun	designer-jiakun-liu	yv
9446	Joaquim Ruiz Millet	designer-joaquim-ruiz-millet	yv
9447	Johan Verde		
9448	John Brauer	designer-john-brauer	yv
9449	John Follis	designer-john-follis	yv
9450	John Sebastian		
9451	Jonas Damon	designer-jonas-damon	yv
9452	Jonas Grundell	designer-jonas-grundell	yv
9453	Jonathan Coppin	designer-jonathan-coppin	yv
9454	Jon Eric Byers	designer-jon-eric-byers	yv
9455	Jordi Miralbell	designer-jordi-miralbell	yv
9456	Jorge Najer		
9457	Jorge Najera		
9459	Josef Albers	designer-josef-albers	yv
9460	Jose Joaquim Ribeiro	designer-jose-joaquim-ribeiro	yv
9461	Joseph Paul D&#039;Urso	designer-joseph-paul-durso	yv
9462	Josh Jakus	designer-josh-jakus	yv
9463	Jos Van Der Meulen	designer-jos-van-der-meulen	yv
9464	Kaj Franck	designer-kaj-franck	yv
9465	Kanae Tsukamoto	designer-kanae-tsukamoto	yv
9466	Karen Gilbert	designer-karen-gilbert	yv
9467	Karen Hestbeck		
9468	Karl Malmvall		
9469	Karl Zahn	designer-karl-zahn	yv
9470	Kay Bojesen	designer-kay-bojesen	yv
9471	Kazuhide Takahama	designer-kazuhide-takahama	yv
9472	Kazuko Okamoto	designer-kazuka-okamoto	yv
9473	Kazuyo Sejima		
9474	Ke Zhang	designer-ke-zhang	yv
9475	Kho Liang Ie	designer-kho-liang-ie	yv
9476	Kiel Mead	designer-kiel-mead	yv
9477	Kim Almsig	designer-kim-almsig	yv
9478	Klaus Haapaniemi	designer-klaus-haapaniemi	yv
9479	Klaus Rath	designer-klaus-rath	yv
9480	La Gardo Tackett	designer-la-gardo-tackett	yv
9481	Laura Partanen		
9482	Laurens van Wieringen		
9483	Lei Zhang	designer-lei-zhang	yv
9484	Leonardo Dainelli	designer-leonardo-dainelli	yv
9485	Leonardo Gerussi	designer-leonardo-gerussi	yv
9486	Lievore Altherr Molina	designer-lievore-altherr-molina	yv
9487	Lina Nordqvist	designer-lina-nordqvist	yv
9488	Lin Utzon	designer-lin-utzon	yv
9489	Lisa Albin	designer-lisa-albin	yv
9490	Lisa Hilland	designer-lisa-hilland	yv
9491	Lisa Vincitorio	designer-lisa-vincitorio	yv
9492	Louis A. Lara	designer-louis-a-lara	yv
9493	Louise B Helmersen		
9494	Louise Christ	designer-louise-christ	yv
9495	Lovorika Banovic	designer-lovorika-banovic	yv
9496	Luca Pevere	designer-luca-pevere	yv
9497	Lucci &amp; Orlandini	designer-lucci-orlandini	yv
9498	Luciana Di Virgilio	designer-luciana-di-virgilio	yb
9499	Ludwig Mies Van Der Rohe	designer-ludwig-mies-van-der-rohe	yv
9500	Luigi Caccia Dominioni	designer-luigi-caccia-dominioni	yv
9501	Lupo Design	designer-lupo-design	yv
9502	Magnus Pettersen	designer-magnus-pettersen	yv
9503	Malcolm Leland	designer-malcolm-leland	yv
9504	Man Ray	designer-man-ray	yv
9505	Mara Panizzo		
9506	Marcel Breuer	designer-marcel-breuer	yv
9507	Marcello Jori		
9508	Marc Krusin	designer-marc-krusin	yv
9510	Marco Bosisio	designer-marco-bosisio	yv
9511	Marco Maran	designer-marco-maran	yv
9512	Maria Bernsten	designer-maria-bernsten	yv
9513	Marianne Britt Jorgensen	designer-marianne-britt-jorgensen	yv
9514	Marie-Louise Gustafsson	designer-marie-louise-gustafsson	yv
9515	Marie-Louise Rosholm	designer-marie-louise-rosholm	yv
9516	Marijn Van Der Poll	designer-marijn-van-der-poll	yv
9517	Mario Trimarchi	designer-mario-trimarchi	yv
9518	Mark Goetz	designer-mark-goetz	yv
9519	Markus Orthey	designer-markus-orthey	yv
9520	Marti Guixe	designer-marti-guixe	yv
9521	Martin Sonne	designer-martin-sonne	yv
9522	Massimo and Lella Vignelli	designer-massimo-lella-vignelli	yv
9523	Massimo Mariani		
9524	Massimo Settimelli		
9525	Matthew Hilton	designer-matthew-hilton	yv
9526	Matthew Weatherly	designer-matthew-weatherly	yv
9527	Mattias Stenberg	designer-mattias-stenberg	yv
9528	Matti Klenell	designer-matti-klenell	yv
9529	Maurice Scheltens	designer-maurice-scheltens	yv
9530	Max + Linda Geiser	designer-max-and-linda-geiser	yv
9531	Max Bill	designer-max-bill	yv
9532	Maya Lin	designer-maya-lin	yv
9533	Meneghello Paolelli Associati	designer-menghello-paolelli	yb
9534	Michael Iannone	designer-michael-iannone	yv
9535	Michael Lin	designer-michael-lin	yv
9536	Michael Rosing	designer-michael-rosing	yv
9537	Michael Schneider	designer-michael-schneider	yv
9538	Michael Sodeau	designer-michael-sodeau	yv
9539	Michael Young	designer-michael-young	yv
9540	Michala Stigkjaer		
9541	Michel Boucquillon	designer-michel-boucquillon	yb
9542	Michiel Van Der Kley	designer-michiel-van-der-kley	yv
9543	Mikaela Dorfel	designer-mikaela-dorfel	yv
9544	Miki Astori		
9545	Milo Baughman	designer-milo-baughman	yv
9546	Milton Glaser	designer-milton-glaser	yv
9547	Mr Smith Studio		
9548	Murken-Hansen	designer-murken-hansen	yv
9549	Museum Jorn		
9550	Nani Marquina	designer-nani-marquina	yv
9551	Nedda El-Asmar	designer-nedda-el-asmar	yv
9552	Nel Colectivo	designer-nel-colectivo	yv
9553	Nendo	designer-nendo	yv
9554	Niels Bendtsen		
9555	Niels Kjeldsen		
9556	Niels Romer	designer-niels-romer	yv
9557	Niels Van Eijk	designer-niels-van-eijk	yv
9558	Nikolai Carels	designer-nikolai-carels	yv
9559	Nina Farkache	designer-nina-farkache	yv
9560	Nina Jobs	designer-nina-jobs	yv
9561	Nitzan Cohen	designer-nitzan-cohen	yv
9562	Nl Architects	designer-nl-architects	yv
9563	Noah Packard	designer-noah-packard	yv
9564	Noel Wiggins	designer-noel-wiggins	yv
9565	Nolen Niu	designer-nolen-niu	yv
9566	Norman Cherner	designer-norman-cherner	yv
9567	Norm Architects	designer-norm-architects	yv
9568	odosdesign		
9569	Oesterlund	designer-oesterlund	yv
9570	Officeoriginair	designer-officeoriginair	yv
9571	Oiva Toikka	designer-oiva-toikka	yv
9572	Olav Slingerland	designer-olav-slingerland	yv
9573	Ole Flenstead		
9574	Ole Flensted	designer-ole-flensted	yv
9575	Ole Palsby	designer-ole-palsby	yv
9576	Oliver Hemming	designer-oliver-hemming	yv
9577	Orlandini &amp; Radice	designer-orlandini-radice	yv
9578	Paola Navone		
9579	Paolo Cattelan	designer-paolo-cattelan	yv
9580	Paolo Gerosa	designer-paolo-gerosa	yv
9581	Paolo Lucidi	designer-paolo-lucidi	yv
9582	Paolo Ulian	designer-paolo-ulian	yv
9583	Paolo Zani	designer-paolo-zani	yv
9584	Pascal Mourgue	designer-pascal-mourgue	yv
9585	Patrick Morris	designer-patrick-morris	yv
9586	Patrick Townsend		
9587	Paula Arntzen	designer-paula-arntzen	yv
9588	Pauline Deltour	designer-pauline-deltour	yv
9589	Paul Pavlak	designer-paul-pavlak	yv
9590	Paul Smith	designer-paul-smith	yv
9591	Pavel Hanousek	designer-pavel-hanousek	yv
9592	Jean and Oliver Pelle	designer-pelle	yv
9593	Pentagon Design	designer-pentagon-design	yv
9594	Pepe Cortes	designer-pepe-cortes	yv
9595	Pernille Vea	designer-pernille-vea	yv
9596	Per Weiss	designer-per-weiss	yv
9597	Peter Holmblad	designer-peter-holmblad	yv
9598	Peter Maly	designer-peter-maly	yv
9599	Peter Van Der Jagt	designer-peter-van-der-jagt	yv
9600	Philip Jackson	designer-philip-jackson	yv
9601	Piano Design		
9602	Pierfrancesco Cravel	designer-pierfrancesco-cravel	yv
